
2023/01/07 (09:24:47) | ===> btop++ v.1.2.7
2023/01/07 (09:24:47) | WARNING: Failed to join _runner thread on exit!

2023/01/07 (09:28:56) | ===> btop++ v.1.2.7
2023/01/07 (09:28:56) | ERROR: Stall in Runner thread, restarting!
2023/01/07 (09:37:23) | WARNING: Failed to join _runner thread on exit!

2023/01/07 (09:55:59) | ===> btop++ v.1.2.7
2023/01/07 (09:55:59) | ERROR: Stall in Runner thread, restarting!

2023/01/20 (15:22:46) | ===> btop++ v.1.2.7
2023/01/20 (15:22:46) | WARNING: Failed to join _runner thread on exit!

2023/01/20 (16:45:02) | ===> btop++ v.1.2.7
2023/01/20 (16:45:02) | WARNING: Failed to join _runner thread on exit!

2023/01/21 (21:16:31) | ===> btop++ v.1.2.7
2023/01/21 (21:16:31) | WARNING: Failed to join _runner thread on exit!

2023/01/23 (07:45:52) | ===> btop++ v.1.2.7
2023/01/23 (07:45:52) | WARNING: Failed to join _runner thread on exit!

2023/01/23 (09:17:47) | ===> btop++ v.1.2.7
2023/01/23 (09:17:47) | WARNING: Failed to join _runner thread on exit!

2023/01/23 (14:34:22) | ===> btop++ v.1.2.7
2023/01/23 (14:34:22) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (07:02:28) | ===> btop++ v.1.2.7
2023/01/24 (07:02:28) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (07:16:17) | ===> btop++ v.1.2.7
2023/01/24 (07:16:17) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (08:57:02) | ===> btop++ v.1.2.7
2023/01/24 (08:57:02) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (09:09:21) | ===> btop++ v.1.2.7
2023/01/24 (09:09:21) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (09:09:35) | ===> btop++ v.1.2.7
2023/01/24 (09:09:35) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (09:13:25) | ===> btop++ v.1.2.7
2023/01/24 (09:13:25) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (09:26:08) | ===> btop++ v.1.2.7
2023/01/24 (09:26:08) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (09:30:57) | ===> btop++ v.1.2.7
2023/01/24 (09:30:57) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (09:43:17) | ===> btop++ v.1.2.7
2023/01/24 (09:43:17) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (09:44:40) | ===> btop++ v.1.2.7
2023/01/24 (09:44:40) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (09:44:40) | ERROR: Invalid size of hex value: C6D0F580
2023/01/24 (09:44:41) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (09:44:41) | ERROR: Invalid size of hex value: C6D0F580
2023/01/24 (09:58:43) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (09:58:48) | ===> btop++ v.1.2.7
2023/01/24 (09:58:48) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (09:58:48) | ERROR: Invalid size of hex value: C6D0F580

2023/01/24 (10:02:32) | ===> btop++ v.1.2.7
2023/01/24 (10:02:32) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (10:02:32) | ERROR: Invalid size of hex value: C6D0F580
2023/01/24 (12:19:24) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (12:26:29) | ===> btop++ v.1.2.7
2023/01/24 (12:26:29) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (12:26:29) | ERROR: Invalid size of hex value: C6D0F580

2023/01/24 (12:26:32) | ===> btop++ v.1.2.7
2023/01/24 (12:26:32) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (12:26:32) | ERROR: Invalid size of hex value: C6D0F580

2023/01/24 (12:49:39) | ===> btop++ v.1.2.7
2023/01/24 (12:49:39) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (12:49:39) | ERROR: Invalid size of hex value: C6D0F580
2023/01/24 (12:49:57) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (12:51:55) | ===> btop++ v.1.2.7
2023/01/24 (12:51:55) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (12:51:55) | ERROR: Invalid size of hex value: C6D0F580
2023/01/24 (13:23:13) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (13:23:20) | ===> btop++ v.1.2.7
2023/01/24 (13:23:20) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (13:23:20) | ERROR: Invalid size of hex value: C6D0F580
2023/01/24 (14:47:32) | WARNING: Failed to join _runner thread on exit!

2023/01/24 (15:05:17) | ===> btop++ v.1.2.7
2023/01/24 (15:05:17) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (15:05:17) | ERROR: Invalid size of hex value: C6D0F580

2023/01/24 (15:32:21) | ===> btop++ v.1.2.7
2023/01/24 (15:32:21) | ERROR: Invalid size of hex value: 30344680
2023/01/24 (15:32:21) | ERROR: Invalid size of hex value: C6D0F580
2023/01/25 (07:04:06) | WARNING: Failed to join _runner thread on exit!

2023/01/25 (07:33:16) | ===> btop++ v.1.2.7
2023/01/25 (07:33:16) | ERROR: Invalid size of hex value: 30344680
2023/01/25 (07:33:16) | ERROR: Invalid size of hex value: C6D0F580
2023/01/25 (09:04:46) | WARNING: Failed to join _runner thread on exit!

2023/01/25 (09:09:07) | ===> btop++ v.1.2.7
2023/01/25 (09:09:07) | ERROR: Invalid size of hex value: 30344680
2023/01/25 (09:09:07) | ERROR: Invalid size of hex value: C6D0F580
2023/01/25 (09:46:30) | WARNING: Failed to join _runner thread on exit!

2023/01/25 (10:27:46) | ===> btop++ v.1.2.7
2023/01/25 (10:27:46) | ERROR: Invalid size of hex value: 30344680
2023/01/25 (10:27:46) | ERROR: Invalid size of hex value: C6D0F580
2023/01/25 (14:02:11) | WARNING: Failed to join _runner thread on exit!

2023/01/25 (14:02:15) | ===> btop++ v.1.2.7
2023/01/25 (14:02:15) | ERROR: Invalid size of hex value: 30344680
2023/01/25 (14:02:15) | ERROR: Invalid size of hex value: C6D0F580
2023/01/26 (06:57:24) | WARNING: Failed to join _runner thread on exit!

2023/01/26 (07:30:31) | ===> btop++ v.1.2.7
2023/01/26 (07:30:31) | ERROR: Invalid size of hex value: 30344680
2023/01/26 (07:30:31) | ERROR: Invalid size of hex value: C6D0F580
2023/01/26 (08:53:37) | WARNING: Failed to join _runner thread on exit!

2023/01/26 (08:59:03) | ===> btop++ v.1.2.7
2023/01/26 (08:59:03) | ERROR: Invalid size of hex value: 30344680
2023/01/26 (08:59:03) | ERROR: Invalid size of hex value: C6D0F580
2023/01/30 (10:20:38) | WARNING: Failed to join _runner thread on exit!

2023/01/30 (10:38:52) | ===> btop++ v.1.2.7
2023/01/30 (10:38:52) | ERROR: Invalid size of hex value: 30344680
2023/01/30 (10:38:52) | ERROR: Invalid size of hex value: C6D0F580

2023/01/30 (10:38:58) | ===> btop++ v.1.2.7
2023/01/30 (10:38:58) | ERROR: Invalid size of hex value: 30344680
2023/01/30 (10:38:58) | ERROR: Invalid size of hex value: C6D0F580
2023/01/30 (10:42:43) | WARNING: Failed to join _runner thread on exit!

2023/01/30 (10:58:04) | ===> btop++ v.1.2.7
2023/01/30 (10:58:04) | ERROR: Invalid size of hex value: 30344680
2023/01/30 (10:58:04) | ERROR: Invalid size of hex value: C6D0F580
2023/01/30 (13:20:28) | WARNING: Failed to join _runner thread on exit!

2023/01/30 (13:23:39) | ===> btop++ v.1.2.7
2023/01/30 (13:23:39) | ERROR: Invalid size of hex value: 30344680
2023/01/30 (13:23:39) | ERROR: Invalid size of hex value: C6D0F580
2023/01/31 (07:07:20) | WARNING: Failed to join _runner thread on exit!

2023/01/31 (07:07:46) | ===> btop++ v.1.2.7
2023/01/31 (07:07:46) | ERROR: Invalid size of hex value: 30344680
2023/01/31 (07:07:46) | ERROR: Invalid size of hex value: C6D0F580
2023/01/31 (07:14:56) | WARNING: Failed to join _runner thread on exit!

2023/01/31 (07:15:34) | ===> btop++ v.1.2.7
2023/01/31 (07:15:34) | ERROR: Invalid size of hex value: 30344680
2023/01/31 (07:15:34) | ERROR: Invalid size of hex value: C6D0F580
2023/01/31 (07:47:31) | WARNING: Failed to join _runner thread on exit!

2023/01/31 (07:52:58) | ===> btop++ v.1.2.7
2023/01/31 (07:52:58) | ERROR: Invalid size of hex value: 30344680
2023/01/31 (07:52:58) | ERROR: Invalid size of hex value: C6D0F580
2023/01/31 (08:49:59) | WARNING: Failed to join _runner thread on exit!

2023/01/31 (08:53:30) | ===> btop++ v.1.2.7
2023/01/31 (08:53:30) | ERROR: Invalid size of hex value: 30344680
2023/01/31 (08:53:30) | ERROR: Invalid size of hex value: C6D0F580
2023/01/31 (15:32:04) | WARNING: Failed to join _runner thread on exit!

2023/01/31 (15:32:46) | ===> btop++ v.1.2.7
2023/01/31 (15:32:46) | ERROR: Invalid size of hex value: 30344680
2023/01/31 (15:32:46) | ERROR: Invalid size of hex value: C6D0F580
2023/02/01 (10:21:37) | WARNING: Failed to join _runner thread on exit!

2023/02/01 (10:47:23) | ===> btop++ v.1.2.7
2023/02/01 (10:47:23) | ERROR: Invalid size of hex value: 30344680
2023/02/01 (10:47:23) | ERROR: Invalid size of hex value: C6D0F580
2023/02/02 (06:53:17) | WARNING: Failed to join _runner thread on exit!

2023/02/02 (06:53:26) | ===> btop++ v.1.2.7
2023/02/02 (06:53:26) | ERROR: Invalid size of hex value: 30344680
2023/02/02 (06:53:26) | ERROR: Invalid size of hex value: C6D0F580
2023/02/02 (06:55:54) | WARNING: Failed to join _runner thread on exit!

2023/02/02 (06:55:55) | ===> btop++ v.1.2.7
2023/02/02 (06:55:55) | ERROR: Invalid size of hex value: 30344680
2023/02/02 (06:55:55) | ERROR: Invalid size of hex value: C6D0F580
2023/02/02 (06:57:43) | WARNING: Failed to join _runner thread on exit!

2023/02/02 (06:57:44) | ===> btop++ v.1.2.7
2023/02/02 (06:57:44) | ERROR: Invalid size of hex value: 30344680
2023/02/02 (06:57:44) | ERROR: Invalid size of hex value: C6D0F580
2023/02/02 (07:56:20) | WARNING: Failed to join _runner thread on exit!

2023/02/02 (07:56:21) | ===> btop++ v.1.2.7
2023/02/02 (07:56:21) | ERROR: Invalid size of hex value: 30344680
2023/02/02 (07:56:21) | ERROR: Invalid size of hex value: C6D0F580

2023/02/02 (08:29:49) | ===> btop++ v.1.2.7
2023/02/02 (08:29:49) | ERROR: Invalid size of hex value: 30344680
2023/02/02 (08:29:49) | ERROR: Invalid size of hex value: C6D0F580
2023/02/02 (08:31:48) | WARNING: Failed to join _runner thread on exit!

2023/02/02 (08:32:36) | ===> btop++ v.1.2.7
2023/02/02 (08:32:36) | ERROR: Invalid size of hex value: 30344680
2023/02/02 (08:32:36) | ERROR: Invalid size of hex value: C6D0F580

2023/02/02 (08:39:06) | ===> btop++ v.1.2.7
2023/02/02 (08:39:06) | WARNING: Failed to join _runner thread on exit!

2023/02/02 (08:39:30) | ===> btop++ v.1.2.7
2023/02/02 (08:39:30) | ERROR: Invalid size of hex value: 30344680
2023/02/02 (08:39:30) | ERROR: Invalid size of hex value: C6D0F580
2023/02/02 (16:31:46) | WARNING: Failed to join _runner thread on exit!

2023/02/02 (16:31:49) | ===> btop++ v.1.2.7
2023/02/02 (16:31:49) | ERROR: Invalid size of hex value: 30344680
2023/02/02 (16:31:49) | ERROR: Invalid size of hex value: C6D0F580
2023/02/03 (07:19:58) | WARNING: Failed to join _runner thread on exit!

2023/02/03 (07:23:49) | ===> btop++ v.1.2.7
2023/02/03 (07:23:49) | ERROR: Invalid size of hex value: 30344680
2023/02/03 (07:23:49) | ERROR: Invalid size of hex value: C6D0F580
2023/02/03 (07:26:47) | WARNING: Failed to join _runner thread on exit!

2023/02/03 (07:28:16) | ===> btop++ v.1.2.7
2023/02/03 (07:28:16) | ERROR: Invalid size of hex value: 30344680
2023/02/03 (07:28:16) | ERROR: Invalid size of hex value: C6D0F580
2023/02/03 (09:03:40) | WARNING: Failed to join _runner thread on exit!

2023/02/03 (09:13:39) | ===> btop++ v.1.2.7
2023/02/03 (09:13:39) | ERROR: Invalid size of hex value: 30344680
2023/02/03 (09:13:39) | ERROR: Invalid size of hex value: C6D0F580
2023/02/03 (09:13:50) | WARNING: Failed to join _runner thread on exit!

2023/02/03 (09:15:39) | ===> btop++ v.1.2.7
2023/02/03 (09:15:39) | ERROR: Invalid size of hex value: 30344680
2023/02/03 (09:15:39) | ERROR: Invalid size of hex value: C6D0F580

2023/02/03 (09:35:14) | ===> btop++ v.1.2.7
2023/02/03 (09:35:14) | ERROR: Invalid size of hex value: 30344680
2023/02/03 (09:35:14) | ERROR: Invalid size of hex value: C6D0F580
